Make,Model,Fuel,kmpl
Honda,Automatic transmission (2010 Honda Accord Coupe),Gasoline,11.053744
Honda,Manual transmission (2010 Honda Accord Coupe),Gasoline,11.266316
Honda,Automatic transmission (2010 Honda Accord Coupe),Gasoline,9.990884000000001
Nissan,Manual transmission (2011 Nissan 370Z Roadster),Gasoline,9.140596
Nissan,Automatic transmission (2011 Nissan 370Z Roadster),Gasoline,9.140596
Nissan,Manual transmission (2010 Nissan 370Z Roadster),Gasoline,9.140596
Nissan,Automatic transmission (2010 Nissan 370Z Roadster),Gasoline,9.140596
Audi,Manual transmission (2011 Audi A3),Gasoline,10.841172
Nissan,Automatic transmission (2011 Nissan 370Z Coupe),Gasoline,9.56574
Audi,Manual transmission (2010 Audi A3),Gasoline,10.841172
Nissan,Automatic transmission (2010 Nissan 370Z Coupe),Gasoline,9.56574
Audi,Manual transmission (2012 Audi A4 Sedan),Gasoline,11.053744
Audi,Automatic transmission (2012 Audi A4 Sedan),Gasoline,10.6286
Audi,Manual transmission (2011 Audi A4 Sedan),Gasoline,11.053744
Audi,Automatic transmission (2011 Audi A4 Sedan),Gasoline,10.6286
Ford,Manual transmission (2012 Ford Fiesta Sedan),Gasoline,14.242324
Ford,Manual transmission (2011 Ford Fiesta Sedan),Gasoline,15.942900000000002
Ford,Manual transmission (2011 Ford Fiesta Sedan),Gasoline,13.81718
Audi,Automatic transmission (2010 Audi A4 Sedan),Gasoline,10.203456000000001
Audi,Manual transmission (2010 Audi A4 Sedan),Gasoline,11.053744
Volvo,Automatic transmission (2010 Volvo S40),Gasoline,10.6286
Volvo,Automatic transmission (2010 Volvo S40),Gasoline,9.990884000000001
Audi,Automatic transmission (2012 Audi A4 Avant),Gasoline,10.6286
Audi,Automatic transmission (2011 Audi A4 Avant),Gasoline,10.6286
Audi,Automatic transmission (2010 Audi A4 Avant),Gasoline,11.266316
Honda,Manual transmission (2011 Honda Accord Coup),Gasoline,11.691460000000001
Honda,Automatic transmission (2011 Honda Accord Coup),Gasoline,11.691460000000001
Honda,Manual transmission (2011 Honda Accord Coup),Gasoline,9.140596
Honda,Automatic transmission (2011 Honda Accord Coup),Gasoline,10.203456000000001
Ford,Manual transmission (2012 Ford Fiesta Hatchback),Gasoline,14.242324
Ford,Manual transmission (2011 Ford Fiesta Hatchback),Gasoline,13.81718
Honda,Manual transmission (2010 Honda Accord Sedan),Gasoline,11.266316
Honda,Automatic transmission (2010 Honda Accord Sedan),Gasoline,11.053744
Honda,Automatic transmission (2010 Honda Accord Sedan),Gasoline,10.203456000000001
Toyota,Automatic transmission (2011 Toyota Avalon),Gasoline,10.416028
Nissan,Automatic transmission (2009 Nissan 370Z Coupe),Gasoline,9.353168
Toyota,Automatic transmission (2010 Toyota Avalon),Gasoline,9.990884000000001
Toyota,Manual transmission (2011 Toyota Camry),Gasoline,11.691460000000001
Toyota,Automatic transmission (2011 Toyota Camry),Gasoline,11.478888000000001
Toyota,Automatic transmission (2011 Toyota Camry),Gasoline,10.416028
